filename,macro_f1,micro_f1,num_segments,num_true_labels,num_pred_labels,num_errors
003442.wav,0.11855072463768117,0.9115646258503401,59,67,80,13
003446.wav,0.12570806100217866,0.65625,45,23,41,22
003449.wav,0.0818958818958819,0.44155844155844154,62,17,60,43
003461.wav,0.058333333333333334,0.18421052631578946,55,43,33,62
003468.wav,0.14002089864158832,0.6732673267326733,57,36,65,33
003472.wav,0.0958139534883721,0.7777777777777778,32,31,23,12
003504.wav,0.09766081871345028,0.4507042253521127,37,21,50,39
003507.wav,0.08733333333333333,0.34408602150537637,40,28,65,61
003510.wav,0.12574907588606218,0.5228215767634855,41,75,166,115
003538.wav,0.14482384823848238,0.4,61,30,50,48
003539.wav,0.06746438746438746,0.28169014084507044,55,74,68,102
003563.wav,0.12421559983541997,0.5909090909090909,66,109,111,90
003569.wav,0.12108843537414966,0.8850574712643678,57,85,89,20
003582.wav,0.10311986863711002,0.6666666666666666,37,32,61,31
003586.wav,0.05656565656565657,0.8,40,28,42,14
003587.wav,0.06572769953051644,0.8235294117647058,38,36,49,15
003588.wav,0.02333333333333333,0.1308411214953271,66,77,137,186
003610.wav,0.06516290726817042,0.6220095693779905,68,135,74,79
003612.wav,0.1477726574500768,0.5,68,24,44,34
003619.wav,0.2518518518518518,0.9174311926605505,40,53,56,9
003646.wav,0.2322943722943723,0.8723404255319149,37,42,52,12
003649.wav,0.13636363636363635,0.8421052631578947,34,29,28,9
003653.wav,0.030158730158730156,0.08571428571428572,51,15,55,64
003657.wav,0.0871345029239766,0.8421052631578947,44,50,45,15
003680.wav,0.12000000000000001,0.8611111111111112,62,31,41,10
003685.wav,0.12151067323481117,0.723404255319149,36,21,26,13
003688.wav,0.11245791245791245,0.6835443037974683,36,31,48,25
003696.wav,0.11538101916783544,0.6216216216216216,51,26,48,28
003703.wav,0.14726930320150658,0.6046511627906976,52,47,39,34
003729.wav,0.12514619883040937,0.864516129032258,45,67,88,21
003736.wav,0.06603174603174604,0.3146067415730337,38,15,74,61
003742.wav,0.122765737874097,0.8034188034188035,59,48,69,23
003749.wav,0.10163170163170164,0.6904761904761905,39,34,50,26
003762.wav,0.02,0.14634146341463414,35,17,24,35
003764.wav,0.14917874396135264,0.5641025641025641,33,29,49,34
003768.wav,0.11393939393939394,0.7428571428571429,45,17,18,9
003774.wav,0.13711830953210263,0.5714285714285714,49,47,72,51
003775.wav,0.1893856209150327,0.6458333333333334,57,34,62,34
003777.wav,0.14194659776055124,0.6976744186046512,66,58,71,39
003785.wav,0.15338753387533874,0.8396946564885496,39,65,66,21
003788.wav,0.1557037037037037,0.5227272727272727,39,30,58,42
003797.wav,0.15234395234395234,0.5294117647058824,39,34,34,32
003804.wav,0.1111111111111111,0.9230769230769231,33,33,32,5
003814.wav,0.1544973544973545,0.5625,48,18,46,28
003815.wav,0.04444444444444444,0.28,39,18,32,36
003841.wav,0.15062223112713996,0.5238095238095238,42,24,60,40
003859.wav,0.1742014610995574,0.8378378378378378,46,35,39,12
003890.wav,0.07792397660818713,0.2028985507246377,41,36,33,55
003924.wav,0.1231578947368421,0.782608695652174,40,40,52,20
003929.wav,0.16969460688758933,0.8952380952380953,47,52,53,11
003996.wav,0.15252525252525254,0.45161290322580644,44,31,62,51
003997.wav,0.17217391304347823,0.5333333333333333,53,40,50,42
004000.wav,0.1317391304347826,0.6388888888888888,46,32,40,26
004006.wav,0.08,0.3111111111111111,33,15,30,31
004010.wav,0.08653594771241829,0.5862068965517241,33,25,33,24
004026.wav,0.11938997821350764,0.5681818181818182,47,32,56,38
004027.wav,0.12280701754385964,0.963855421686747,32,40,43,3
004031.wav,0.12643678160919541,0.9494949494949495,34,47,52,5
004036.wav,0.16093567251461988,0.6857142857142857,35,26,44,22
004050.wav,0.041025641025641026,0.4444444444444444,31,10,26,20
004084.wav,0.17317738791423,0.6031746031746031,69,21,42,25
004095.wav,0.08723809523809524,0.5384615384615384,51,41,63,48
004101.wav,0.14033670033670034,0.5981308411214953,61,37,70,43
004109.wav,0.06464646464646465,0.6956521739130435,35,16,30,14
004124.wav,0.12696296296296297,0.6666666666666666,30,59,64,41
004129.wav,0.10745670995670994,0.5094339622641509,54,31,75,52
004134.wav,0.02150537634408602,0.15625,31,39,25,54
004157.wav,0.17183796730188483,0.8839779005524862,65,88,93,21
004163.wav,0.04057971014492754,0.2222222222222222,38,14,49,49
004166.wav,0.06666666666666667,0.9180327868852459,29,28,33,5
004193.wav,0.0,0.0,67,15,0,15
004197.wav,0.11307066916823015,0.6233766233766234,48,25,52,29
004199.wav,0.12242424242424242,0.8735632183908046,53,90,84,22
004201.wav,0.09777777777777778,0.4,72,35,35,42
004234.wav,0.04444444444444444,0.05,41,2,38,38
004248.wav,0.134006734006734,0.6229508196721312,30,20,41,23
004255.wav,0.058252427184466014,0.5960264900662252,68,46,105,61
004256.wav,0.12015873015873015,0.6870229007633588,64,54,77,41
004257.wav,0.06349206349206349,0.18181818181818182,48,10,34,36
004261.wav,0.12805122048819528,0.9696969696969697,31,32,34,2
004263.wav,0.13297843297843298,0.5048543689320388,32,55,48,51
004273.wav,0.10853935777209435,0.4366812227074236,50,79,150,129
004281.wav,0.10740740740740741,0.6101694915254238,34,20,39,23
004286.wav,0.16261437908496734,0.7536231884057971,38,26,43,17
004289.wav,0.008888888888888889,0.04,32,24,26,48
004290.wav,0.13515406162464985,0.5714285714285714,36,22,27,21
004291.wav,0.12121212121212123,0.5671641791044776,40,23,44,29
004292.wav,0.1137085137085137,0.7906976744186046,35,17,26,9
004294.wav,0.18194871794871795,0.8611111111111112,35,31,41,10
004295.wav,0.059259259259259255,0.34615384615384615,33,17,35,34
004309.wav,0.14444444444444443,0.4318181818181818,48,22,66,50
004321.wav,0.0,0.0,38,16,46,62
004328.wav,0.16835016835016833,0.5473684210526316,62,30,65,43
004346.wav,0.0,0.0,50,4,20,24
004376.wav,0.043478260869565216,0.5660377358490566,33,25,28,23
004379.wav,0.09535732916014607,0.8314606741573034,36,39,50,15
004386.wav,0.06227795193312435,0.18181818181818182,69,36,41,63
004406.wav,0.10320629159104658,0.7123287671232876,48,27,46,21
004426.wav,0.07761828814460393,0.5740740740740741,48,41,67,46
004434.wav,0.09350649350649351,0.5454545454545454,32,40,59,45
004451.wav,0.06021505376344086,0.8,33,15,20,7
004505.wav,0.1252314814814815,0.6530612244897959,37,101,95,68
004516.wav,0.10718954248366014,0.6333333333333333,32,25,35,22
004519.wav,0.041025641025641026,0.1951219512195122,63,7,34,33
004537.wav,0.14047683310841205,0.7166666666666667,42,54,66,34
004538.wav,0.07333333333333333,0.21333333333333335,48,16,59,59
004556.wav,0.09668737060041407,0.5507246376811594,45,34,35,31
004604.wav,0.10085470085470086,0.6407766990291263,64,43,60,37
004609.wav,0.09456140350877193,0.43781094527363185,56,90,111,113
004613.wav,0.21296632385561604,0.8936170212765957,55,92,96,20
004616.wav,0.09166666666666666,0.583941605839416,41,57,80,57
004652.wav,0.1094850948509485,0.5208333333333334,47,39,57,46
004658.wav,0.13034825870646766,0.954248366013072,41,75,78,7
004702.wav,0.035555555555555556,0.36363636363636365,34,11,11,14
004703.wav,0.10400000000000001,0.8571428571428571,35,39,52,13
004704.wav,0.14564158806755867,0.7513227513227513,55,80,109,47
004715.wav,0.1292929292929293,0.9666666666666667,40,58,62,4
004716.wav,0.11289364230540701,0.6730769230769231,50,48,56,34
004739.wav,0.06570048309178744,0.8831168831168831,39,34,43,9
004742.wav,0.09162754303599373,0.65,37,54,66,42
004746.wav,0.02298850574712644,0.3225806451612903,30,5,26,21
004749.wav,0.05277777777777778,0.48717948717948717,30,29,49,40
